symptom,ratio
scale_1,0.213602144
scale_2,0.059844328
scale_3,0.954702054
scale_4,0.350899579
scale_5,0.140359832
scale_6,0.60035728
scale_7,0.170090596
scale_8,0.201224959
scale_9,0.937220875
scale_10,0.278422866
scale_11,0.065969121
scale_12,0.486283016
scale_13,0.126323848
scale_14,0.549444941
scale_15,0.520096976
scale_16,0.05856833
scale_17,0.074518311
scale_18,0.218323338
