doc_id,count_words,count_sentences,count_pos,count_neg,calculate_words,calculate_sentences,calculate_pos,calculate_neg
80876,3,1,0,0,3,1,0,0
80877,56,1,2,9,56,1,80,272
80878,17,1,3,1,17,1,20,9
80879,7,1,0,2,7,1,0,5
80880,11,1,0,0,11,1,0,0
80881,11,1,0,2,11,1,0.0,24.0
80882,7,1,0,1,7,1,0,4
80883,10,1,1,1,10,1,4,7
80884,15,1,1,1,15,1,6.0,12.0
80885,11,1,1,1,11,1,1,7
80886,235,3,12,14,235,3,571.5,1080.0
80887,27,1,1,1,27,1,4.0,36.0
80888,9,1,0,1,9,1,0,2
80889,95,5,1,6,95,5,68.0,142.5
80890,21,1,1,0,21,1,10,0
80891,40,1,0,5,40,1,0.0,119.0
80892,10,1,0,1,10,1,0,1
80893,22,1,1,1,22,1,5,8
80894,25,1,1,1,25,1,-11.0,30.0
80895,41,3,1,3,41,3,32.0,-6.0
80896,24,1,1,0,24,1,21,0
80897,57,2,11,5,57,2,290.0,49.0
80898,31,3,1,3,31,3,16,23
80899,14,1,0,0,14,1,0,0
80900,26,2,0,2,26,2,0,16
80901,27,1,0,1,27,1,0,22
80902,18,1,1,0,18,1,24.0,0.0
80903,29,1,3,2,29,1,30.0,74.0
80904,153,5,4,8,153,5,68.0,82.0
80905,29,1,2,1,29,1,14.0,4.0
80906,35,1,2,0,35,1,32,0
80907,61,1,8,2,61,1,137.0,-6.0
80908,25,1,4,1,25,1,66.0,1.0
80909,21,5,0,0,21,5,0,0
80910,11,1,1,0,11,1,2,0
80911,14,1,1,0,14,1,7,0
80912,24,1,1,0,24,1,23,0
80913,15,2,0,1,15,2,0.0,6.0
80914,15,1,0,2,15,1,0.0,12.0
80915,13,1,0,2,13,1,0,19
80916,41,2,3,0,41,2,42.5,0.0
80917,27,1,0,1,27,1,0.0,36.0
80918,41,2,5,2,41,2,-6.0,22.0
80919,17,1,1,2,17,1,11,10
80920,13,1,1,0,13,1,7,0
80921,11,1,1,0,11,1,5,0
80922,21,1,2,0,21,1,15.5,0.0
80923,18,1,2,2,18,1,16,7
80924,37,1,3,3,37,1,34.0,47.0
80925,60,2,9,1,60,2,145,23
80926,92,1,1,4,92,1,20.0,218.0
80927,27,1,3,0,27,1,43,0
80928,8,1,0,0,8,1,0,0
80929,7,1,1,1,7,1,2,5
80930,63,2,3,4,63,2,-13.0,116.0
80931,39,1,2,3,39,1,38.0,89.0
80932,12,1,1,0,12,1,8,0
80933,58,2,2,1,58,2,88.0,0.0
80934,14,1,1,2,14,1,3,11
80935,27,1,2,3,27,1,31.0,53.0
80936,74,5,5,4,74,5,174.0,28.0
80937,175,3,1,9,175,3,-12.0,326.0
80938,39,4,1,0,39,4,13,0
80939,21,3,2,0,21,3,10,0
80940,18,1,0,2,18,1,0,14
80941,17,1,1,0,17,1,13,0
80942,6,1,0,0,6,1,0,0
80943,26,1,1,1,26,1,-24.0,20.0
80944,8,1,0,1,8,1,0,3
80945,35,4,1,1,35,4,-7.0,2.0
80946,7,1,0,0,7,1,0,0
80947,15,2,0,0,15,2,0,0
80948,4,1,0,0,4,1,0,0
80949,23,1,2,2,23,1,48.0,10.0
80950,10,1,1,0,10,1,7,0
80951,15,1,0,0,15,1,0,0
